Date,Open,High,Low,Close,Adj Close,Volume
2/3/2020,54.349998,54.810001,54.349998,54.549999,53.990685,5905700
2/4/2020,54.77,55.151001,54.34,55.119999,54.554832,3504000
2/5/2020,55.599998,55.650002,54.919998,55.209999,54.643913,3771700
2/6/2020,55.48,55.994999,55.48,55.900002,55.326843,1998100
2/7/2020,55.720001,56.060001,55.549999,55.860001,55.287251,2698600
2/10/2020,55.73,56.200001,55.689999,56.189999,55.613865,4420500
2/11/2020,56.48,56.560001,56.060001,56.130001,55.554482,1703300
2/12/2020,56.41,56.939999,56.389999,56.860001,56.276993,1730200
2/13/2020,56.540001,57.084999,56.41,56.869999,56.286892,2761600
2/14/2020,56.919998,57.029999,56.705002,56.939999,56.356171,2111700
2/18/2020,56.82,57.435001,56.810001,57.32,56.732277,2952900
2/19/2020,57.529999,57.75,57.310001,57.580002,56.989616,4301800
2/20/2020,57.330002,57.375,56.459999,56.990002,56.40567,2939000
2/21/2020,56.73,56.82,55.959999,56.119999,55.544582,2927400
2/24/2020,54.400002,54.779999,53.849998,54.240002,53.683857,5297200
2/25/2020,54.43,54.66,52.689999,52.790001,52.248734,13048800
2/26/2020,53.099998,53.761002,52.400002,52.689999,52.149754,6991500
2/27/2020,51.68,52.41,50.610001,50.610001,50.09108,8635300
2/28/2020,49.200001,50.849998,49.040001,50.759998,50.239544,17880300
3/2/2020,51.290001,52.52,50.439999,52.52,51.981499,7324000
3/3/2020,52.59,53.209999,50.48,50.790001,50.269234,9167600
3/4/2020,51.66,52.650002,51.169998,52.619999,52.080471,3398100
3/5/2020,51.439999,51.759998,50.32,50.700001,50.180161,4009100
3/6/2020,49.080002,50.080002,48.619999,49.82,49.309177,6736400
3/9/2020,46.549999,48.200001,45,46.5,46.023224,6080000
3/10/2020,48.060001,48.889999,46.380001,48.869999,48.368919,5108100
3/11/2020,47.689999,47.93,46.080002,46.77,46.290447,5854600
3/12/2020,43.759998,45.389999,41.049999,42.380001,41.945465,9472200
3/13/2020,45.009998,46.25,42.630001,46.189999,45.716396,7604700
3/16/2020,39.509998,43.689999,39.110001,40.98,40.559814,19813500
3/17/2020,41.799999,43.459999,40.150002,42.759998,42.321568,14016600
3/18/2020,40.299999,41.689999,38.68,41.34,40.916126,18094800
3/19/2020,41.009998,43.52,40.200001,42.080002,41.648537,14289200
3/20/2020,42.869999,42.919998,40.049999,40.220001,39.807613,10077800
3/23/2020,40.009998,41.169998,39.029999,40.32,40.019024,15113800
3/24/2020,42.32,42.799999,41.470001,42.799999,42.480507,6497900
3/25/2020,42.66,43.950001,41.419998,42.139999,41.825432,5291400
3/26/2020,42.48,44.73,42.369999,44.540001,44.20752,4691000
3/27/2020,43.279999,43.935001,42.59,42.759998,42.440804,3378100
3/30/2020,43.16,44.470001,42.689999,44.32,43.989159,3025600
3/31/2020,44.310001,45.035,43.949001,44.240002,43.90976,4777200
4/1/2020,42.950001,43.450001,42.080002,42.48,42.162895,5481200
4/2/2020,42.299999,43.290001,42.240002,43.02,42.698868,4537200
4/3/2020,42.939999,43.110001,41.59,42.150002,41.835361,3071800
4/6/2020,43.73,45.169998,43.48,44.93,44.594608,3294700
4/7/2020,46.310001,46.450001,45.119999,45.259998,44.922142,3694300
4/8/2020,45.759998,46.439999,45.290001,46.23,45.884903,2628200
4/9/2020,46.799999,47.060001,46.080002,46.57,46.222366,3256500
4/13/2020,46.450001,46.73,45.560001,46.639999,46.291843,2606200
4/14/2020,47.610001,48.346001,47.32,48.02,47.661541,5554200
4/15/2020,47.18,47.970001,46.98,47.57,47.214901,1969100
4/16/2020,47.919998,47.919998,47.080002,47.759998,47.403481,2475600
4/17/2020,48.599998,48.599998,47.759998,48.41,48.04863,3348400
4/20/2020,47.959999,48.560001,47.799999,47.970001,47.611916,1948500
4/21/2020,47.349998,47.436001,46.119999,46.459999,46.113186,4167700
4/22/2020,47.68,48.060001,47.23,47.709999,47.353851,2151700
