Date,Open,High,Low,Close,Adj Close,Volume
2/3/2020,95.440002,96.830002,95.330002,96.589996,95.189278,12542800
2/4/2020,98.269997,99.330002,98.029999,99.120003,97.682594,9548900
2/5/2020,100.75,100.800003,98.980003,99.699997,98.254189,16348500
2/6/2020,100.110001,100.639999,99.660004,100.610001,99.150986,6752800
2/7/2020,100.139999,100.529999,99.489998,99.690002,98.244324,8299000
2/10/2020,99.110001,101.059998,99.089996,101.040001,99.574745,8173800
2/11/2020,101.809998,101.900002,100.400002,100.699997,99.239685,7552900
2/12/2020,101.389999,101.830002,100.82,101.790001,100.313873,6076400
2/13/2020,100.989998,102.050003,100.839996,101.519997,100.047783,7401400
2/14/2020,101.720001,102.129997,101.400002,101.959999,100.481415,6196200
2/18/2020,101.139999,101.800003,101.029999,101.580002,100.106926,10316600
2/19/2020,102.239998,102.940002,102.169998,102.790001,101.299377,8307800
2/20/2020,102.57,102.82,100.330002,101.720001,100.244888,13162300
2/21/2020,101.199997,101.290001,98.82,99.440002,97.997955,14949500
2/24/2020,94.669998,96.709999,93.800003,95.330002,93.947556,21182600
2/25/2020,96.190002,96.540001,91.940002,92.279999,90.941795,31467200
2/26/2020,92.629997,94.709999,92,92.699997,91.355698,27879800
2/27/2020,89.660004,91.559998,87.639999,87.699997,86.4282,33912900
2/28/2020,84.209999,89.209999,84.059998,88.370003,87.088493,55929500
3/2/2020,89.959999,93.5,88.379997,93.480003,92.12439,35004300
3/3/2020,94.010002,94.660004,88.980003,89.93,88.625877,47494600
3/4/2020,91.870003,93.82,90.599998,93.790001,92.429878,22363800
3/5/2020,91.290001,93.029999,90.239998,90.830002,89.512817,24509500
3/6/2020,87.790001,89.440002,86.489998,88.910004,87.620659,28815900
3/9/2020,81.580002,86,81.5,82.160004,80.968536,29559900
3/10/2020,85.68,87.650002,82.620003,87.639999,86.369064,35582300
3/11/2020,85.290001,85.82,82.309998,83.5,82.289108,31652100
3/12/2020,77.440002,81.900002,75,75.349998,74.257301,32745300
3/13/2020,80.089996,84.379997,76.300003,84.190002,82.969109,32924800
3/16/2020,71.720001,79.209999,71.190002,72.559998,71.507759,40622400
3/17/2020,74.269997,78.440002,71.940002,77.5,76.376122,50407300
3/18/2020,72.349998,75.82,70.269997,74.580002,73.498466,53706200
3/19/2020,73.889999,77.389999,72.120003,74.849998,73.764549,61727100
3/20/2020,76.260002,77.040001,71.18,71.419998,70.384285,45222000
3/23/2020,70.690002,72.220001,68.099998,70.400002,69.741364,42479200
3/24/2020,74.660004,77.669998,74.360001,77.610001,76.883904,37664500
3/25/2020,78.199997,81.089996,76.019997,77.510002,76.784851,28740400
3/26/2020,78.489998,82.510002,78.300003,82.309998,81.539925,28212900
3/27/2020,79.760002,81.260002,78.25,78.589996,77.854736,29242700
3/30/2020,79.639999,82.089996,79.389999,81.900002,81.133774,23740100
3/31/2020,81.709999,83.18,79.949997,80.370003,79.61808,19994400
4/1/2020,77.589996,79.25,75.970001,76.540001,75.823914,27492400
4/2/2020,76.269997,78.43,75.959999,78.330002,77.597168,22111800
4/3/2020,77.989998,78.830002,76.150002,77.120003,76.398491,15786000
4/6/2020,80.510002,84.25,80,83.699997,82.916931,17993600
4/7/2020,86.650002,86.68,82.860001,82.949997,82.17395,22149400
4/8/2020,84.040001,85.529999,83.25,85.18,84.383087,13714300
4/9/2020,86.190002,86.629997,84.599998,85.199997,84.402885,19630700
4/13/2020,84.860001,85.510002,83.650002,85.389999,84.591125,12650800
4/14/2020,87.290001,89.129997,86.940002,88.970001,88.137627,15889500
4/15/2020,87.199997,87.739998,86.379997,87.029999,86.215767,12929100
4/16/2020,88.169998,88.309998,86.650002,88.089996,87.265854,11833800
4/17/2020,89.650002,89.669998,87.970001,89.260002,88.424911,14142400
4/20/2020,88.050003,89.220001,87.709999,87.830002,87.008286,10203500
4/21/2020,86.589996,86.800003,83.639999,84.150002,83.362724,16382500
4/22/2020,86.190002,87.870003,85.879997,87.389999,86.572403,12019100
4/23/2020,87.589996,88.580002,86.720001,86.790001,85.97802,10584800
4/24/2020,87.150002,88.650002,86.589996,88.629997,87.800812,8442500
4/27/2020,89.43,89.690002,88.849998,89.389999,88.553703,7799300
4/28/2020,90.5,90.559998,88.080002,88.199997,87.374832,12633800
4/29/2020,90.080002,92.139999,89.760002,91.82,90.960968,11462900
4/30/2020,92.010002,92.010002,90.730003,91.410004,90.554802,15430600
5/1/2020,89.400002,90.650002,88.559998,88.900002,88.068283,11995100
5/4/2020,88.489998,90.169998,88.080002,90.080002,89.237236,10729000
5/5/2020,91.110001,92.480003,90.949997,91.32,90.465645,8687300
5/6/2020,92.199997,92.919998,91.620003,92.029999,91.168999,8470500
5/7/2020,93.279999,93.940002,93.139999,93.410004,92.536095,10544400
5/8/2020,94.300003,94.910004,93.75,94.779999,93.893265,7612300
